1656618851.091 +25.0388A  +24.9390A  +25.0663A  +25.0669A  +24.9609A  +24.9553A  +25.0346A  +24.9380A  | 199.9999A  | +18.3942V    +0.0606V    -0.0000V    -0.0000V  
1656618851.554 +25.0435A  +24.9400A  +25.0672A  +25.0691A  +24.9431A  +24.9591A  +25.0373A  +24.9407A  | 200.0000A  | +18.3925V    +0.0606V    -0.0000V    -0.0000V  
1656618852.086 +25.0415A  +24.9395A  +25.0673A  +25.0667A  +24.9500A  +24.9573A  +25.0372A  +24.9405A  | 200.0000A  | +18.3918V    +0.0606V    +0.0000V    -0.0000V  
1656618852.55 +25.0404A  +24.9362A  +25.0646A  +25.0648A  +24.9637A  1656618852.614 +24.9557A  +25.0350A  +24.9395A  | 199.9997A  | +18.3917V    +0.0606V    +0.0000V    -0.0000V  
1656618853.07 +25.0450A  +24.9382A  +25.0633A  +25.0608A  +24.9586A  +24.9542A  +25.0387A  +24.9407A  | 199.9996A  | +18.3929V    +0.0606V    +0.0000V    -0.0000V  
1656618853.534 +25.0425A  +24.9371A1656618853.599   +25.0653A  +25.0635A  +24.9622A  +24.9518A  +25.0374A  +24.9400A  | 199.9996A  | +18.3901V    +0.0606V    +0.0000V    -0.0000V  
1656618854.055 +25.0427A  +24.9378A  +25.0626A  +25.0647A  +24.9575A  +24.9525A  +25.0419A  +24.9408A  | 200.0005A  | +18.3903V    +0.0606V    -0.0000V    -0.0000V  
1656618854.581 +25.0440A  +24.9357A  +25.0591A  +25.0644A  +24.9625A  +24.9523A  +25.0408A  +24.9411A  | 199.9998A  | +18.3911V    +0.0606V    -0.0000V    -0.0000V  
1656618855.044 +25.0436A  +24.9379A  1656618855.109 +25.0587A  +25.0652A  +24.9575A  +24.9530A  +25.0427A  +24.9417A  | 200.0002A  | +18.3922V    +0.0606V    -0.0000V    -0.0000V  
1656618855.562 +25.0382A  +24.9344A  +25.0577A  +25.0623A  +24.9695A  +24.9551A  +25.0417A  +24.9410A  | 199.9999A  | +18.3925V    +0.0606V    -0.0000V    -0.0000V  
1656618856.091 +25.0398A  +24.9353A  +25.0573A  +25.0613A  +24.9652A  +24.9588A  +25.0410A  +24.9409A  | 199.9997A  | +18.3927V    +0.0606V    -0.0000V    -0.0000V  
1656618856.553 +25.0408A  +24.9352A  +25.1656618856.617 0586A  +25.0600A  +24.9658A  +24.9585A  +25.0411A  +24.9405A  | 200.0006A  | +18.3921V    +0.0606V    -0.0000V    -0.0000V  
1656618857.068 +25.0390A  +24.9359A  +25.0563A  +25.0606A  +24.9643A  +24.9590A  +25.0425A  +24.9423A  | 199.9999A  | +18.3931V    +0.0606V    -0.0000V    -0.0000V  
1656618857.595 +25.0378A  +24.9344A  +25.0567A  +25.0613A  +24.9722A  +24.9574A  +25.0400A  +24.9404A  | 200.0002A  | +18.3936V    +0.0606V    -0.0000V    -0.0000V  
1656618858.058 +25.0364A  +24.9367A  +25.0584A  +25.0646A  +24.9673A  +24.9572A  +25.0395A  +24.9396A  | 199.9997A  | +18.3938V    +0.0606V    -0.0000V    -0.0000V  
1656618858.59 +25.0385A  +24.9357A  +25.0546A  +25.0633A  +24.9746A  +24.9557A  +25.0389A  +24.9389A  | 200.0001A  | +18.3953V    +0.0606V    -0.0000V    -0.0000V  
1656618859.054 +25.0381A  +24.9372A  +25.0539A  +25.0636A  +24.9704A  +24.9580A  +25.0391A  +24.9398A  | 200.0001A  | +18.3971V    +0.0606V    -0.0000V    -0.0000V  
1656618859.589 +25.0373A  +24.9338A  +25.0519A  +25.0655A  +24.9763A  +24.9574A  +25.0386A  +24.9395A  | 200.0003A  | +18.3956V    +0.0606V    +0.0000V    -0.0000V  
1656618860.057 +25.0379A  +24.9356A  +25.0551A  +25.0679A  +24.9686A  +24.9578A  +25.0380A  +24.9395A  | 200.0004A  | +18.3949V    +0.0606V    -0.0000V    -0.0000V  
1656618860.586 +25.0330A  +24.9335A  +25.0556A  +25.0646A  +24.9744A  +24.9577A  +25.0414A  +24.9401A  | 200.0002A  | +18.3960V    +0.0606V    -0.0000V    -0.0000V  
1656618861.05 +25.0352A  +24.9359A  +25.1656618861.115 0551A  +25.0661A  +24.9664A  +24.9596A  +25.0426A  +24.9395A  | 200.0004A  | +18.3977V    +0.0606V    -0.0000V    -0.0000V  
1656618861.568 +25.0373A  +24.9334A  +25.0519A  +25.0646A  +24.9736A  +24.9585A  +25.0426A  +24.9379A  | 199.9998A  | +18.3972V    +0.0606V    -0.0000V    -0.0000V  
1656618862.049 +25.0368A  +24.9357A  +25.0529A  +25.0675A  +21656618862.114 4.9687A  +24.9583A  +25.0418A  +24.9379A  | 199.9996A  | +18.3956V    +0.0605V    -0.0000V    -0.0000V  
1656618862.565 +25.0372A  +24.9338A  +25.0535A  +25.0671A  +24.9745A  +24.9555A  +25.0410A  +24.9378A  | 200.0004A  | +18.3944V    +0.0605V    +0.0000V    -0.0000V  
1656618863.095 +25.0411A  +24.9362A  +25.0548A  +25.0704A  +24.9672A  +24.9538A  +25.0394A  +24.9371A  | 199.9999A  | +18.3938V    +0.0605V    +0.0000V    -0.0000V  
1656618863.554 +25.0417A  +24.9346A  +25.0515A  +25.0682A  +24.9732A  +24.9519A  +25.0397A  +24.9396A  | 200.0005A  | +18.3936V    +0.0605V    +0.0000V    -0.0000V  
1656618864.074 +25.0450A  +24.9373A  +25.0503A  +25.0676A  +24.9666A  +24.9535A  +25.0403A  +24.9400A  | 200.0005A  | +18.3945V    +0.0605V    +0.0000V    -0.0000V  
1656618864.604 +25.0393A  +24.9332A  +25.0475A  +25.0698A  +24.9768A  +24.9553A  +25.0398A  +24.9383A  | 200.0000A  | +18.3922V    +0.0605V    +0.0000V    -0.0000V  
1656618865.055 +25.0397A  +24.9358A  +25.0502A  +25.0700A  +24.9698A  +24.9553A  +25.0400A  +24.9392A  | 200.0001A  | +18.3916V    +0.0605V    +0.0000V    -0.0000V  
1656618865.586 +25.0397A  +24.9346A  +25.0477A  +25.0690A  +24.9756A  +24.9539A  +25.0406A  +24.9388A  | 199.9999A  | +18.3931V    +0.0605V    +0.0000V    -0.0000V  
1656618866.047 +25.0408A  +24.9375A  +25.0478A  +25.0719A  +24.9707A  +21656618866.112 4.9564A  +25.0366A  +24.9378A  | 199.9996A  | +18.3931V    +0.0605V    +0.0000V    -0.0000V  
1656618866.563 +25.0418A  +24.9370A  +25.0484A  +25.0606A  +24.9774A  +24.9596A  +25.0368A  +24.9384A  | 199.9999A  | +18.3915V    +0.0605V    +0.0000V    -0.0000V  
1656618867.089 +25.0442A  +24.9376A  +25.0483A  +25.0559A  +24.9691A  +24.9606A  +25.0428A  +24.9410A  | 199.9994A  | +18.3898V    +0.0605V    +0.0000V    -0.0000V  
1656618867.551 +25.0466A  +24.9353A  +25.0496A  +25.0541A  +24.9733A  +24.91656618867.615 597A  +25.0407A  +24.9401A  | 199.9994A  | +18.3877V    +0.0605V    +0.0000V    -0.0000V  
1656618868.068 +25.0456A  +24.9368A  +25.0519A  +25.0576A  +24.9592A  +24.9626A  +25.0432A  +24.9427A  | 199.9996A  | +18.3830V    +0.0605V    +0.0000V    -0.0000V  
1656618868.594 +25.0460A  +24.9346A  +25.0486A  +25.0568A  +24.9701A  +24.9599A  +25.0417A  +24.9423A  | 200.0000A  | +18.3795V    +0.0605V    +0.0000V    -0.0000V  
1656618869.055 +25.0482A  +24.9369A  +25.0500A  +25.0602A  +24.9663A  +24.9602A  +25.0372A  +24.9408A  | 199.9999A  | +18.3791V    +0.0605V    +0.0000V    -0.0000V  
1656618869.588 +25.0510A  +24.9356A  +25.0475A  +25.0550A  +24.9733A  +24.9586A  +25.0387A  +24.9404A  | 200.0001A  | +18.3794V    +0.0605V    +0.0000V    -0.0000V  
1656618870.051 +25.0487A  +24.9365A  1656618870.116 +25.0503A  +25.0569A  +24.9665A  +24.9596A  +25.0396A  +24.9418A  | 199.9998A  | +18.3806V    +0.0605V    +0.0000V    -0.0000V  
1656618870.565 +25.0433A  +24.9348A  +25.0514A  +25.0557A  +24.9770A  +24.9585A  +25.0387A  +24.9404A  | 199.9999A  | +18.3830V    +0.0605V    +0.0000V    -0.0000V  
1656618871.091 +25.0435A  +24.9374A  +25.0527A  +25.0591A  +24.9710A  +24.9586A  +25.0377A  +24.9400A  | 199.9999A  | +18.3826V    +0.0605V    +0.0000V    -0.0000V  
1656618871.553 +25.0415A  +24.9345A  +21656618871.619 5.0528A  +25.0596A  +24.9776A  +24.9593A  +25.0359A  +24.9394A  | 200.0006A  | +18.3803V    +0.0605V    +0.0000V    -0.0000V  
1656618872.068 +25.0412A  +24.9363A  +25.0535A  +25.0583A  +24.9734A  +24.9617A  +25.0356A  +24.9402A  | 200.0002A  | +18.3807V    +0.0605V    +0.0000V    -0.0000V  
1656618872.547 +25.0453A  +24.9333A  +25.0524A  +25.0590A 1656618872.61  +24.9709A  +24.9613A  +25.0385A  +24.9398A  | 200.0004A  | +18.3767V    +0.0605V    +0.0000V    -0.0000V  
1656618873.063 +25.0456A  +24.9345A  +25.0528A  +25.0603A  +24.9688A  +24.9608A  +25.0400A  +24.9379A  | 200.0007A  | +18.3742V    +0.0605V    +0.0000V    -0.0000V  
1656618873.595 +25.0485A  +24.9339A  +25.0527A  +25.0606A  +24.9695A  +24.9588A  +25.0379A  +24.9380A  | 200.0000A  | +18.3717V    +0.0605V    +0.0000V    -0.0000V  
1656618874.054 +25.0459A  +24.9370A  +25.0541A  +25.0617A  +24.9665A  +24.9593A  +25.0370A  +24.9381A  | 199.9997A  | +18.3742V    +0.0605V    +0.0000V    -0.0000V  
1656618874.575 +25.0468A  +24.9379A  +25.0593A  +25.0680A  +24.9495A  +24.9612A  +25.0383A  +24.9392A  | 200.0000A  | +18.3727V    +0.0605V    +0.0000V    -0.0000V  
1656618875.104 +25.0485A  +24.9390A  +25.0594A  +25.0662A  +24.9449A  +24.9616A  +25.0403A  +24.9399A  | 199.9997A  | +18.3703V    +0.0605V    +0.0000V    -0.0000V  
1656618875.556 +25.0463A  +24.9347A  +25.0563A  +25.0617A  +24.9656A  +24.9581A  +25.0397A  +24.9377A  | 200.0002A  | +18.3707V    +0.0605V    +0.0000V    -0.0000V  
1656618876.087 +25.0456A  +24.9361A  +25.0561A  +25.0604A  +24.9662A  +24.9582A  +25.0398A  +24.9372A  | 199.9997A  | +18.3724V    +0.0605V    +0.0000V    -0.0000V  
1656618876.618 +25.0419A  +24.9337A  +25.0544A  +25.0599A  +24.9719A  +24.9586A  +25.0420A  +24.9378A  | 200.0002A  | +18.3721V    +0.0605V    +0.0000V    -0.0000V  
1656618877.067 +25.0435A  +24.9333A  +25.0534A  +25.0597A  +24.9672A  +24.9584A  +25.0446A  +24.9401A  | 200.0003A  | +18.3705V    +0.0605V    +0.0000V    -0.0000V  
1656618877.545 +25.0465A  +24.93171656618877.61 A  +25.0548A  +25.0585A  +24.9706A  +24.9573A  +25.0413A  +24.9398A  | 200.0006A  | +18.3719V    +0.0605V    +0.0000V    -0.0000V  
1656618878.06 +25.0447A  +24.9334A  +25.0545A  +25.0587A  +24.9685A  +24.9588A  +25.0418A  +24.9391A  | 199.9995A  | +18.3715V    +0.0605V    +0.0000V    -0.0000V  
1656618878.588 +25.0457A  +24.9341A  +25.0551A  +25.0585A  +24.9702A  +24.9579A  +25.0412A  +24.9378A  | 200.0005A  | +18.3724V    +0.0605V    +0.0000V    -0.0000V  
1656618879.051 +25.0454A  +24.9359A1656618879.115   +25.0557A  +25.0573A  +24.9671A  +24.9587A  +25.0403A  +24.9391A  | 199.9996A  | +18.3728V    +0.0605V    +0.0000V    -0.0000V  
1656618879.565 +25.0419A  +24.9330A  +25.0562A  +25.0565A  +24.9771A  +24.9581A  +25.0381A  +24.9396A  | 200.0006A  | +18.3754V    +0.0605V    +0.0000V    -0.0000V  
1656618880.09 +25.0411A  +24.9352A  +25.0593A  +25.0614A  +24.9697A  +24.9587A  +25.0361A  +24.9382A  | 199.9996A  | +18.3708V    +0.0605V    +0.0000V    -0.0000V  
1656618880.551 +25.0417A  +24.9340A  1656618880.616 +25.0567A  +25.0601A  +24.9694A  +24.9587A  +25.0388A  +24.9402A  | 199.9997A  | +18.3719V    +0.0605V    +0.0000V    -0.0000V  
1656618881.066 +25.0444A  +24.9351A  +25.0548A  +25.0575A  +24.9644A  +24.9580A  +25.0434A  +24.9422A  | 199.9999A  | +18.3715V    +0.0605V    +0.0000V    -0.0000V  
1656618881.595 +25.0455A  +24.9325A  +25.0531A  +25.0558A  +24.9718A  +24.9558A  +25.0432A  +24.9423A  | 200.0000A  | +18.3714V    +0.0605V    +0.0000V    -0.0000V  
1656618882.058 +25.0471A  +24.9349A  +25.0552A  +25.0578A  +24.9674A  +24.9552A  +25.0404A  +24.9416A  | 199.9996A  | +18.3738V    +0.0605V    -0.0000V    -0.0000V  
1656618882.59 +25.0480A  +24.9340A  +25.0502A  +25.0574A  +24.9722A  +24.9549A  +25.0405A  +24.9431A  | 200.0003A  | +18.3792V    +0.0605V    -0.0000V    -0.0000V  
1656618883.054 +25.0437A  +24.9346A  +25.0484A  +25.0584A  +24.9684A  +24.9567A  +25.0441A  +24.9457A  | 199.9999A  | +18.3830V    +0.0605V    -0.0000V    -0.0000V  
1656618883.589 +25.0431A  +24.9336A  +25.0484A  +25.0581A  +24.9743A  +24.9576A  +25.0404A  +24.9450A  | 200.0005A  | +18.3854V    +0.0605V    -0.0000V    -0.0000V  
1656618884.053 +25.0440A  +24.9348A  +25.0506A  +25.0580A  +24.9678A  +24.951656618884.118 90A  +25.0406A  +24.9451A  | 199.9997A  | +18.3858V    +0.0605V    +0.0000V    -0.0000V  
1656618884.571 +25.0475A  +24.9323A  +25.0461A  +25.0522A  +24.9748A  +24.9592A  +25.0426A  +24.9450A  | 199.9997A  | +18.3857V    +0.0605V    +0.0000V    -0.0000V  
1656618885.044 +25.0465A  +24.9333A  +21656618885.11 5.0480A  +25.0556A  +24.9674A  +24.9605A  +25.0435A  +24.9453A  | 200.0001A  | +18.3852V    +0.0605V    +0.0000V    -0.0000V  
1656618885.561 +25.0437A  +24.9320A  +25.0468A  +25.0571A  +24.9762A  +24.9614A  +25.0404A  +24.9427A  | 200.0002A  | +18.3853V    +0.0605V    +0.0000V    -0.0000V  
1656618886.092 +25.0441A  +24.9348A  +25.0471A  +25.0578A  +24.9699A  +24.9627A  +25.0409A  +24.9431A  | 200.0003A  | +18.3848V    +0.0605V    +0.0000V    -0.0000V  
1656618886.552 +25.0460A  +24.9343A  +25.1656618886.618 0473A  +25.0560A  +24.9726A  +24.9608A  +25.0404A  +24.9428A  | 200.0002A  | +18.3854V    +0.0605V    +0.0000V    -0.0000V  
